,Model_Name,Accuracy,Precision,Sensitivity,F1,ROC_AUC
XGBClassifier,XGBClassifier,0.401131625967838,[0.70123735 0.14528478 0.53284672],[0.57488012 0.69032831 0.04141844],[0.63180298 0.24004937 0.07686233],"{0: 0.7099737249250133, 1: 0.6570273985549726, 2: 0.6436256090204883}"
RandomForestClassifier,RandomForestClassifier,0.4100655151876117,[0.6862344  0.1482772  0.52631579],[0.61877536 0.67968057 0.00283688],[0.65076132 0.2434451  0.00564334],"{0: 0.6970572542423736, 1: 0.6435526018397407, 2: 0.6250899438926847}"
AdaBoostClassifier,AdaBoostClassifier,0.3984514592019059,[0.68092314 0.14453718 0.4556962 ],[0.59313906 0.67613132 0.01021277],[0.6340069  0.23816221 0.0199778 ],"{0: 0.6806739278814727, 1: 0.6342459474204248, 2: 0.6363769900444981}"
LinearDiscriminantAnalysis,LinearDiscriminantAnalysis,0.4220766329164185,[0.64452622 0.15102672 0.59090909],[0.64607156 0.60692103 0.01843972],[0.64529796 0.24186704 0.03576341],"{0: 0.6584571693362254, 1: 0.637646779035648, 2: 0.6009293390036268}"
VotingClassifier,VotingClassifier,0.41681556482032955,[0.68964816 0.15217816 0.76315789],[0.62541498 0.69121562 0.00822695],[0.65596286 0.24943964 0.01627842],"{0: 0.7088180997579049, 1: 0.6640268151132337, 2: 0.6402155058051199}"
