,Model_Name,Accuracy,Precision,Sensitivity,F1,ROC_AUC
XGBClassifier,XGBClassifier,0.5318642048838594,[0.6913474  0.21814255 0.45630106],[0.59240133 0.26885537 0.52283688],[0.63806118 0.24085851 0.4873083 ],"{0: 0.6993840458588351, 1: 0.6465028355387524, 2: 0.6483339668554239}"
RandomForestClassifier,RandomForestClassifier,0.5278935874528489,[0.66739173 0.19985876 0.46098306],[0.62246404 0.25110914 0.47092199],[0.64414543 0.22257177 0.46589952],"{0: 0.6869527843158649, 1: 0.6443972683858776, 2: 0.6402297356859202}"
AdaBoostClassifier,AdaBoostClassifier,0.5123089140361327,[0.67346044 0.19518221 0.45529291],[0.56676503 0.28039042 0.50269504],[0.61552328 0.23015295 0.47782122],"{0: 0.6706901209460645, 1: 0.6459744850603509, 2: 0.6309442078212364}"
LinearDiscriminantAnalysis,LinearDiscriminantAnalysis,0.5299781616041295,[0.62923383 0.23383085 0.44731929],[0.64072298 0.16681455 0.47574468],[0.63492644 0.19471776 0.46109431],"{0: 0.640752556461637, 1: 0.6192842817145908, 2: 0.6134690045256219}"
VotingClassifier,VotingClassifier,0.5565812983919,[0.67236143 0.25292242 0.47270375],[0.65326448 0.21118012 0.51829787],[0.6626754  0.23017408 0.49445196],"{0: 0.6988722341671602, 1: 0.6603780976189367, 2: 0.653620226790079}"
