,Model_Name,Accuracy,Precision,Sensitivity,F1,ROC_AUC
XGBClassifier,XGBClassifier,0.6048243001786778,[0.64599941 0.44099379 0.52437082],[0.80708226 0.06299911 0.46695035],[0.71761233 0.11024845 0.4939976 ],"{0: 0.7325473779160917, 1: 0.6791893085466628, 2: 0.6925250674403216}"
RandomForestClassifier,RandomForestClassifier,0.5849712130236252,[0.62105706 0.35454545 0.50300247],[0.81704168 0.03460515 0.40397163],[0.70569494 0.06305578 0.44808055],"{0: 0.6942420025037322, 1: 0.630982472053458, 2: 0.6561253788949426}"
AdaBoostClassifier,AdaBoostClassifier,0.568294619813381,[0.61964181 0.25       0.47053171],[0.77849502 0.0310559  0.41673759],[0.69004414 0.05524862 0.44200391],"{0: 0.6453094427879411, 1: 0.6397512552724717, 2: 0.6090898832478349}"
LinearDiscriminantAnalysis,LinearDiscriminantAnalysis,0.5715703791939647,[0.60640763 0.34920635 0.4813154 ],[0.82036149 0.01952085 0.36539007],[0.69734264 0.03697479 0.41541687],"{0: 0.6642796393661313, 1: 0.6375973902907877, 2: 0.632691862435822}"
VotingClassifier,VotingClassifier,0.5997617629541394,[0.62884193 0.45901639 0.52513761],[0.84526005 0.02484472 0.40595745],[0.72116444 0.04713805 0.45792   ],"{0: 0.7228245614424594, 1: 0.6693500887460209, 2: 0.6879992722618039}"
