,Model_Name,Accuracy,Precision,Sensitivity,F1,ROC_AUC
XGBClassifier,XGBClassifier,0.6030375223347231,[0.64575318 0.47115385 0.51743462],[0.80486905 0.04347826 0.47148936],[0.71658456 0.07961007 0.49339469],"{0: 0.7316478469139296, 1: 0.6777132991294788, 2: 0.6945471183408435}"
RandomForestClassifier,RandomForestClassifier,0.5945006948580505,[0.6214276  0.43181818 0.52210049],[0.84618222 0.01685892 0.39205674],[0.71659508 0.0324509  0.4478289 ],"{0: 0.7142798494906107, 1: 0.6304851630954208, 2: 0.672966691899256}"
AdaBoostClassifier,AdaBoostClassifier,0.593607305936073,[0.62034673 0.49122807 0.51863354],[0.85134637 0.02484472 0.37900709],[0.71771748 0.0472973  0.43796099],"{0: 0.7077148867722437, 1: 0.6658006941994704, 2: 0.6607278898083082}"
LinearDiscriminantAnalysis,LinearDiscriminantAnalysis,0.5742505459598968,[0.59342302 0.38518519 0.50706436],[0.87864257 0.0461402  0.27489362],[0.70840149 0.08240887 0.35651214],"{0: 0.6768592368976682, 1: 0.6520482593492248, 2: 0.6375196256480065}"
VotingClassifier,VotingClassifier,0.6033353186420488,[0.6256184  0.48529412 0.54056193],[0.8629657  0.02928128 0.38751773],[0.72537013 0.05523013 0.45142102],"{0: 0.7283894505776124, 1: 0.6719701715782848, 2: 0.6925582055188979}"
